,Apple,BlackRock,FastRetailing,Google,Inditex,JPMC,Microsoft,Samsung,Sony,Tesla
carbon,1146,7,6,645,76,149,1542,191,95,70
emissions,1261,21,72,1048,506,181,809,600,1140,467
climate,833,61,26,524,559,212,528,308,498,16
energy,2119,42,28,1509,480,254,808,819,817,332
renewable,1322,8,14,507,157,90,291,315,468,52
pollution,12,6,3,24,114,1,18,60,140,20
co2,0,0,0,0,0,0,0,0,0,0
greenhouse gas,199,2,22,68,62,7,37,94,280,27
carbon footprint,351,0,2,73,19,5,41,20,1,36
net zero,13,11,1,14,25,19,127,38,24,1
recycling,358,0,58,60,121,8,111,237,1012,62
labor,14,46,24,1,4,18,5,509,208,49
wages,0,13,6,0,46,3,0,57,5,14
diversity,5,68,48,1,183,167,2,138,617,63
equality,3,1,7,0,85,4,0,59,27,4
inclusion,3,37,13,4,167,172,8,100,346,45
workforce,0,12,0,7,159,50,35,24,113,53
child labor,0,8,5,0,0,5,0,68,28,22
governance,12,113,50,171,218,360,40,186,1539,70
ethics,17,55,15,0,241,50,0,199,1487,18
transparency,68,25,6,19,87,20,69,57,50,26
reporting,97,113,7,82,144,117,151,151,268,35
board,92,78,131,15,297,133,14,302,848,79
compliance,51,36,17,9,619,30,15,548,2056,19
supply chain,429,56,84,79,499,22,124,454,2004,193
stakeholder,10,9,1,15,71,43,12,104,175,3
sustainability,68,343,198,421,955,227,1183,1744,3537,52
esg,9,165,7,5,8,492,39,95,114,40
circular economy,27,0,7,99,126,3,66,62,7,2
